"Estimated.HIV.Prevalence.....Ages.15.49.","year","Percentage 15-45"
"8373","Costa Rica","X2011",0.3
"8374","Croatia","X2011",0.06
"8375","Cuba","X2011",0.2
"8377","Czech Republic","X2011",0.06
"8379","Denmark","X2011",0.2
"8380","Djibouti","X2011",1.4
"8382","Dominican Republic","X2011",0.7
"8384","Ecuador","X2011",0.4
"8385","Egypt","X2011",0.06
"8386","El Salvador","X2011",0.6
"8387","Equatorial Guinea","X2011",4.7
"8388","Eritrea","X2011",0.6
"8390","Estonia","X2011",1.3
"8391","Ethiopia","X2011",1.4
"8394","Fiji","X2011",0.1
"8395","Finland","X2011",0.1
"8396","France","X2011",0.4
"8399","Gabon","X2011",5
"8400","Gambia","X2011",1.5
"8401","Georgia","X2011",0.2
"8402","Germany","X2011",0.1
"8403","Ghana","X2011",1.5
"8405","Greece","X2011",0.2
"8410","Guatemala","X2011",0.8
"8412","Guinea","X2011",1.4
"8413","Guinea-Bissau","X2011",2.5
"8414","Guyana","X2011",1.1
"8415","Haiti","X2011",1.8
"8419","Hungary","X2011",0.1
"8420","Iceland","X2011",0.3
"8422","Indonesia","X2011",0.3
"8423","Iran","X2011",0.2
"8425","Ireland","X2011",0.3
"8427","Israel","X2011",0.2
"8428","Italy","X2011",0.4
"8429","Jamaica","X2011",1.8
"8430","Japan","X2011",0.06
"8433","Kazakhstan","X2011",0.2
"8434","Kenya","X2011",6.2
"8437","South Korea","X2011",0.06
"8441","Kyrgyz Republic","X2011",0.4
"8442","Lao","X2011",0.3
"8443","Latvia","X2011",0.7
"8444","Lebanon","X2011",0.1
"8445","Lesotho","X2011",23.3
"8446","Liberia","X2011",1
"8449","Lithuania","X2011",0.1
"8450","Luxembourg","X2011",0.3
"8453","Madagascar","X2011",0.3
"8454","Malawi","X2011",10
"8455","Malaysia","X2011",0.4
"8456","Maldives","X2011",0.06
"8457","Mali","X2011",1.1
"8458","Malta","X2011",0.1
"8461","Mauritania","X2011",1.1
"8462","Mauritius","X2011",1
"8464","Mexico","X2011",0.2
"8466","Moldova","X2011",0.5
"8468","Mongolia","X2011",0.06
"8471","Morocco","X2011",0.2
"8472","Mozambique","X2011",11.3
"8473","Myanmar","X2011",0.6
"8474","Namibia","X2011",13.4
"8476","Nepal","X2011",0.3
"8477","Netherlands","X2011",0.2
"8480","New Zealand","X2011",0.1
"8482","Nicaragua","X2011",0.2
"8483","Niger","X2011",0.8
"8484","Nigeria","X2011",3.7
"8489","Norway","X2011",0.1
"8491","Pakistan","X2011",0.1
"8493","Panama","X2011",0.8
"8494","Papua New Guinea","X2011",0.7
"8495","Paraguay","X2011",0.3
"8496","Peru","X2011",0.4
"8497","Philippines","X2011",0.06
"8499","Poland","X2011",0.1
"8500","Portugal","X2011",0.7
"8504","Romania","X2011",0.1
"8506","Rwanda","X2011",2.9
"8516","Sao Tome and Principe","X2011",1
"8518","Senegal","X2011",0.7
"8519","Serbia","X2011",0.1
"8523","Sierra Leone","X2011",1.6
"8524","Singapore","X2011",0.1
"8525","Slovak Republic","X2011",0.06
"8526","Slovenia","X2011",0.1
"8528","Somalia","X2011",0.7
"8530","South Africa","X2011",17.3
"8532","Spain","X2011",0.4
"8533","Sri Lanka","X2011",0.06
"8534","Sudan","X2011",0.4
"8535","Suriname","X2011",1
"8537","Swaziland","X2011",26
"8538","Sweden","X2011",0.2
"8539","Switzerland","X2011",0.4
"8542","Tajikistan","X2011",0.3
"8543","Tanzania","X2011",5.8
"8544","Thailand","X2011",1.2
"8546","Togo","X2011",3.4
"8550","Trinidad and Tobago","X2011",1.5
"8551","Tunisia","X2011",0.06
"8552","Turkey","X2011",0.06
"8556","Uganda","X2011",7.2
"8557","Ukraine","X2011",0.8
"8559","United Kingdom","X2011",0.3
"8560","United States","X2011",0.6
"8561","Uruguay","X2011",0.6
"8566","Venezuela","X2011",0.5
"8570","Vietnam","X2011",0.5
"8574","Yemen","X2011",0.2
"8576","Zambia","X2011",12.5
"8577","Zimbabwe","X2011",14.9
"8579","South Sudan","X2011",3.1
"8580","Cote dIvoire","X2011",3
